t,x,y,z
6.060000000000000142e+01,4.087355222929410274e+02,3.143912341346374433e+02,1.750827352720219920e+01
6.070000000000000284e+01,4.090749923074315006e+02,3.147583270982023578e+02,1.750658078889980018e+01
6.080000000000000426e+01,4.094144623219219170e+02,3.151254200617673291e+02,1.750488805059740116e+01
6.090000000000000568e+01,4.097539323364123902e+02,3.154925130253323005e+02,1.750319531229500214e+01
6.100000000000000000e+01,4.100934023509028066e+02,3.158596059888972150e+02,1.750150257399260312e+01
6.110000000000000142e+01,4.104328723653932798e+02,3.162266989524621863e+02,1.749980983569020410e+01
6.120000000000000284e+01,4.107723423798836961e+02,3.165937919160271576e+02,1.749811709738780507e+01
6.130000000000000426e+01,4.111118123943741693e+02,3.169608848795920721e+02,1.749642435908540605e+01
6.140000000000000568e+01,4.114512824088645857e+02,3.173279778431570435e+02,1.749473162078300703e+01
6.150000000000000000e+01,4.117907524233550589e+02,3.176950708067220148e+02,1.749303888248060801e+01
6.160000000000000142e+01,4.121302224378454753e+02,3.180621637702869293e+02,1.749134614417820899e+01
6.170000000000000284e+01,4.124696924523359485e+02,3.184292567338519007e+02,1.748965340587580997e+01
6.180000000000000426e+01,4.128091624668263648e+02,3.187963496974168152e+02,1.748796066757341094e+01
6.190000000000000568e+01,4.131486324813167812e+02,3.191634426609817865e+02,1.748626792927101192e+01
6.200000000000000000e+01,4.134881024958072544e+02,3.195305356245467578e+02,1.748457519096861290e+01
6.210000000000000142e+01,4.138275725102976708e+02,3.198976285881116723e+02,1.748288245266621388e+01
6.220000000000000284e+01,4.141670425247881440e+02,3.202647215516766437e+02,1.748118971436381486e+01
6.230000000000000426e+01,4.145065125392785603e+02,3.206318145152416150e+02,1.747949697606141584e+01
6.240000000000000568e+01,4.148459825537690335e+02,3.209989074788065295e+02,1.747780423775901681e+01
6.250000000000000000e+01,4.151854525682594499e+02,3.213660004423715009e+02,1.747611149945661779e+01
6.260000000000000142e+01,4.155249225827499231e+02,3.217330934059364154e+02,1.747441876115421877e+01
6.270000000000000284e+01,4.158643925972403395e+02,3.221001863695013867e+02,1.747272602285181620e+01
6.280000000000000426e+01,4.162038626117308127e+02,3.224672793330663580e+02,1.747103328454941717e+01
6.290000000000000568e+01,4.165433326262212290e+02,3.228343722966312725e+02,1.746934054624701815e+01
6.300000000000000000e+01,4.168828026407117022e+02,3.232014652601962439e+02,1.746764780794461913e+01
6.310000000000000142e+01,4.172222726552021186e+02,3.235685582237612152e+02,1.746595506964222011e+01
6.320000000000000284e+01,4.175617426696925349e+02,3.239356511873261297e+02,1.746426233133982109e+01
6.330000000000000426e+01,4.179012126841830082e+02,3.243027441508911011e+02,1.746256959303742207e+01
6.340000000000000568e+01,4.182406826986734245e+02,3.246698371144560724e+02,1.746087685473502304e+01
6.350000000000000000e+01,4.185801527131638977e+02,3.250369300780209869e+02,1.745918411643262402e+01
6.360000000000000142e+01,4.189196227276543141e+02,3.254040230415859583e+02,1.745749137813022500e+01
6.370000000000000284e+01,4.192590927421447873e+02,3.257711160051509296e+02,1.745579863982782598e+01
6.380000000000000426e+01,4.195985627566352036e+02,3.261382089687158441e+02,1.745410590152542696e+01
6.390000000000000568e+01,4.199380327711256768e+02,3.265053019322808154e+02,1.745241316322302794e+01
6.400000000000000000e+01,4.202775027856160932e+02,3.268723948958457868e+02,1.745072042492062891e+01
6.410000000000000853e+01,4.206169728001065664e+02,3.272394878594107581e+02,1.744902768661822989e+01
6.420000000000000284e+01,4.209564428145969828e+02,3.276065808229756726e+02,1.744733494831583087e+01
6.429999999999999716e+01,4.212959128290874560e+02,3.279736737865405871e+02,1.744564221001343185e+01
6.440000000000000568e+01,4.216353828435778723e+02,3.283407667501055585e+02,1.744394947171103283e+01
6.450000000000000000e+01,4.219748528580682887e+02,3.287078597136705298e+02,1.744225673340863381e+01
